ebn0_db,decoder,n_original_frames,n_invoked_frames,legacy_detected_failures,legacy_detected_failure_rate,conditional_exact_success_rate,conditional_valid_codeword_rate,conditional_undetected_error_rate,avg_queries_on_invoked_frames,avg_pattern_weight,avg_selected_snapshot,avg_frontier_peak,net_exact_success_rate,net_valid_codeword_rate,net_undetected_error_rate,net_frame_error_rate,avg_queries_per_original_frame,total_queries,n_frames,success_exact_rate,valid_codeword_rate,undetected_error_rate,avg_queries,queries_q50,queries_q90,queries_q99
11.0,final_llr_grand,16000,2560,2560,0.16,0.2,0.2,0.0,4189.475,0.5,12.0,37789.525,0.872,0.872,0.0,0.128,670.316,10725056.0,2560,0.2,0.2,0.0,4189.475,5000.0,5000.0,5000.0
12.0,final_llr_grand,16000,1408,1408,0.088,0.045454545454545456,0.045454545454545456,0.0,4777.272727272727,0.09090909090909091,12.0,43079.954545454544,0.916,0.916,0.0,0.08399999999999996,420.4,6726400.0,1408,0.045454545454545456,0.045454545454545456,0.0,4777.272727272727,5000.0,5000.0,5000.0
13.0,oracle_best_llr,16000,798,798,0.049875,0.2656641604010025,0.2656641604010025,0.0,3710.3208020050124,0.48120300751879697,5.974937343358396,33479.887218045114,0.963375,0.963375,0.0,0.03662500000000002,185.05225,2960836.0,798,0.2656641604010025,0.2656641604010025,0.0,3710.3208020050124,5000.0,5000.0,5000.0
14.0,oracle_best_llr,16000,645,645,0.0403125,0.10852713178294573,0.10852713178294573,0.0,4462.542635658915,0.11782945736434108,6.465116279069767,40249.37209302326,0.9640625,0.9640625,0.0,0.035937499999999956,179.89625,2878340.0,645,0.10852713178294573,0.10852713178294573,0.0,4462.542635658915,5000.0,5000.0,5000.0
