ebn0_db,guard_visit_rate,ai_visit_rate,fallback_visit_rate,n_frames
10.0,1.0,0.8497757847533632,0.8491351697629724,3122
11.0,1.0,0.8641604010025062,0.8636591478696742,1995
12.0,1.0,0.8547486033519553,0.854050279329609,1432
13.0,1.0,0.8305418719211822,0.8295566502463054,1015
14.0,1.0,0.7739816031537451,0.7739816031537451,761
