ebn0_db,decoder,net_success_gain_over_final_llr,extra_queries_vs_reference
10.0,best_syndrome_llr_grand,-0.014562499999999923,70.97862499999997
10.0,best_syndrome_llr_grand_capmatched,-0.01431249999999995,701.7213749999999
10.0,final_llr_grand,0.0,0.0
10.0,final_llr_grand_capmatched,0.0002500000000000835,579.875
10.0,guard_plus_best_syndrome,0.001687500000000064,575.10025
10.0,ldpc_only,-0.029312499999999964,-834.6441875
10.0,oracle_best_llr,0.0036249999999999893,-18.300500000000056
10.0,selector_llr_grand,-0.0234375,113.2461874999999
10.0,tags_grand_lite,0.001687500000000064,577.8905625
11.0,best_syndrome_llr_grand,-0.007874999999999965,37.78150000000005
11.0,best_syndrome_llr_grand_capmatched,-0.007624999999999993,441.9815000000001
11.0,final_llr_grand,0.0,0.0
11.0,final_llr_grand_capmatched,0.0003750000000000142,376.3179375000001
11.0,guard_plus_best_syndrome,0.0010624999999999662,374.2598750000001
11.0,ldpc_only,-0.01693749999999994,-543.6660625
11.0,oracle_best_llr,0.002562500000000023,-12.969499999999925
11.0,selector_llr_grand,-0.01331249999999995,62.8610625
11.0,tags_grand_lite,0.0008749999999999591,375.7671250000001
12.0,best_syndrome_llr_grand,-0.006687499999999957,33.057124999999985
12.0,best_syndrome_llr_grand_capmatched,-0.006562500000000027,324.02218750000003
12.0,final_llr_grand,0.0,0.0
12.0,final_llr_grand_capmatched,0.00012500000000004174,267.6351875
12.0,guard_plus_best_syndrome,0.00043749999999997957,266.45300000000003
12.0,ldpc_only,-0.013000000000000012,-384.4629375
12.0,oracle_best_llr,0.0010624999999999662,-4.9279374999999845
12.0,selector_llr_grand,-0.009750000000000036,47.4135
12.0,tags_grand_lite,0.0005625000000000213,266.67918749999995
13.0,best_syndrome_llr_grand,-0.00593750000000004,29.143062499999985
13.0,best_syndrome_llr_grand_capmatched,-0.005812499999999998,234.07637499999998
13.0,final_llr_grand,0.0,0.0
13.0,final_llr_grand_capmatched,0.00012500000000004174,184.10062499999998
13.0,guard_plus_best_syndrome,0.00043749999999997957,183.0569375
13.0,ldpc_only,-0.010750000000000037,-265.8368125
13.0,oracle_best_llr,0.001187500000000008,-6.335687500000006
13.0,selector_llr_grand,-0.008312500000000056,39.843624999999975
13.0,tags_grand_lite,0.0003750000000000142,183.837625
14.0,best_syndrome_llr_grand,-0.006062499999999971,29.500875000000008
14.0,best_syndrome_llr_grand_capmatched,-0.005937499999999929,179.311375
14.0,final_llr_grand,0.0,0.0
14.0,final_llr_grand_capmatched,0.0,128.84375
14.0,guard_plus_best_syndrome,0.00043749999999997957,127.75218749999999
14.0,ldpc_only,-0.010749999999999926,-186.183625
14.0,oracle_best_llr,0.0007500000000000284,-3.9036250000000052
14.0,selector_llr_grand,-0.008312499999999945,39.82593749999998
14.0,tags_grand_lite,0.00031250000000004885,128.262625
