ebn0_db,decoder,net_success_gain_over_guard_plus_best_syndrome,extra_queries_vs_reference
10.0,final_llr_grand,-0.001687500000000064,-575.10025
10.0,final_llr_grand_capmatched,-0.0014374999999999805,4.77475000000004
10.0,gflowtta_grand,-0.00012500000000004174,3.254374999999982
10.0,guard_plus_best_syndrome,0.0,0.0
10.0,ldpc_only,-0.031000000000000028,-1409.7444375
10.0,oracle_best_llr,0.0019374999999999254,-593.40075
10.0,selector_llr_grand,-0.012187500000000018,-521.443875
11.0,final_llr_grand,-0.0010624999999999662,-374.2598750000001
11.0,final_llr_grand_capmatched,-0.000687499999999952,2.0580625000000055
11.0,gflowtta_grand,-0.0001875000000000071,1.7103124999999864
11.0,guard_plus_best_syndrome,0.0,0.0
11.0,ldpc_only,-0.017999999999999905,-917.9259375
11.0,oracle_best_llr,0.0015000000000000568,-387.229375
11.0,selector_llr_grand,-0.007124999999999937,-344.1055
12.0,final_llr_grand,-0.00043749999999997957,-266.45300000000003
12.0,final_llr_grand_capmatched,-0.00031249999999993783,1.1821874999999409
12.0,gflowtta_grand,0.0,0.6856874999999718
12.0,guard_plus_best_syndrome,0.0,0.0
12.0,ldpc_only,-0.013437499999999991,-650.9159375
12.0,oracle_best_llr,0.0006249999999999867,-271.3809375
12.0,selector_llr_grand,-0.005437499999999984,-239.95081250000004
13.0,final_llr_grand,-0.00043749999999997957,-183.0569375
13.0,final_llr_grand_capmatched,-0.00031249999999993783,1.043687499999976
13.0,gflowtta_grand,0.0,0.875
13.0,guard_plus_best_syndrome,0.0,0.0
13.0,ldpc_only,-0.011187500000000017,-448.89375
13.0,oracle_best_llr,0.0007500000000000284,-189.392625
13.0,selector_llr_grand,-0.005249999999999977,-159.37687499999998
14.0,final_llr_grand,-0.00043749999999997957,-127.75218749999999
14.0,final_llr_grand_capmatched,-0.00043749999999997957,1.091562500000009
14.0,gflowtta_grand,-0.0001875000000000071,0.7551250000000209
14.0,guard_plus_best_syndrome,0.0,0.0
14.0,ldpc_only,-0.011187499999999906,-313.9358125
14.0,oracle_best_llr,0.00031250000000004885,-131.6558125
14.0,selector_llr_grand,-0.005874999999999964,-100.77181250000001
