ebn0_db,decoder,net_success_gain_over_ldpc,avg_queries_per_original_frame,net_success_gain_per_1000_queries
10.0,best_syndrome_llr_grand,0.01475000000000004,905.6228125,0.01628713388886727
10.0,best_syndrome_unsat_grand,0.0038124999999999964,956.567125,0.003985606342053618
10.0,final_llr_grand,0.029312499999999964,834.6441875,0.035119755746217264
10.0,ldpc_only,0.0,0.0,0.0
10.0,oracle_best_llr,0.03293749999999995,816.3436875,0.04034758950714609
10.0,selector_blend_grand,0.00012500000000004174,975.0001875,0.0001282051035503434
10.0,selector_llr_grand,0.00275000000000003,962.4026875,0.0028574317546261325
10.0,tags_grand_lite,0.03093749999999995,2074.056625,0.01491642013390061
11.0,best_syndrome_llr_grand,0.009062499999999973,581.4475625,0.015586100251301636
11.0,best_syndrome_unsat_grand,0.0017499999999999183,614.689875,0.002846964089004912
11.0,final_llr_grand,0.01693749999999994,543.6660625,0.031154234498497763
11.0,ldpc_only,0.0,0.0,0.0
11.0,oracle_best_llr,0.019499999999999962,530.6965625,0.03674416112314645
11.0,selector_blend_grand,6.249999999996536e-05,623.1250625,0.00010030089264779871
11.0,selector_llr_grand,0.0013124999999999387,616.923875,0.002127491013376551
11.0,tags_grand_lite,0.017874999999999974,1349.940125,0.013241328018159304
12.0,best_syndrome_llr_grand,0.006312500000000054,417.5200625,0.01511903395061418
12.0,best_syndrome_unsat_grand,0.001375000000000015,440.62675,0.003120554982193013
12.0,final_llr_grand,0.013000000000000012,384.4629375,0.0338134023646948
12.0,ldpc_only,0.0,0.0,0.0
12.0,oracle_best_llr,0.014062499999999978,379.535,0.037051918795367955
12.0,selector_blend_grand,0.0001875000000000071,446.5626875,0.00041987386149454575
12.0,selector_llr_grand,0.0011250000000000426,441.987875,0.0025453186922832277
12.0,tags_grand_lite,0.013437499999999991,956.5533125,0.014047831756371646
13.0,best_syndrome_llr_grand,0.004812499999999997,294.979875,0.016314672314509584
13.0,best_syndrome_unsat_grand,0.0010625000000000773,311.87625,0.0034067999727458477
13.0,final_llr_grand,0.010750000000000037,265.8368125,0.04043834222545847
13.0,ldpc_only,0.0,0.0,0.0
13.0,oracle_best_llr,0.011937500000000045,259.501125,0.04600172735281994
13.0,selector_blend_grand,0.00012500000000004174,316.562625,0.0003948665765582457
13.0,selector_llr_grand,0.0010625000000000773,312.128125,0.003404050820476614
13.0,tags_grand_lite,0.011187500000000017,659.76875,0.01695669884334476
14.0,best_syndrome_llr_grand,0.004687499999999956,215.6845,0.021733133349869625
14.0,best_syndrome_unsat_grand,0.0008124999999999938,233.7513125,0.0034759163116998273
14.0,final_llr_grand,0.010749999999999926,186.183625,0.057738697482122424
14.0,ldpc_only,0.0,0.0,0.0
14.0,oracle_best_llr,0.011499999999999955,182.28,0.06308975202984395
14.0,selector_blend_grand,6.249999999996536e-05,237.5000625,0.0002631578254846369
14.0,selector_llr_grand,0.001187499999999897,232.3929375,0.005109879898996058
14.0,tags_grand_lite,0.011187499999999906,461.0079375,0.02426747804098255
