ebn0_db,decoder,net_success_gain_over_final_capmatched,extra_queries_vs_reference
10.0,best_syndrome_llr_grand,-0.014812500000000006,-508.89637500000003
10.0,best_syndrome_llr_grand_capmatched,-0.014562500000000034,121.84637499999985
10.0,final_llr_grand,-0.0002500000000000835,-579.875
10.0,final_llr_grand_capmatched,0.0,0.0
10.0,guard_plus_best_syndrome,0.0014374999999999805,-4.77475000000004
10.0,ldpc_only,-0.029562500000000047,-1414.5191875
10.0,oracle_best_llr,0.003374999999999906,-598.1755
10.0,selector_llr_grand,-0.023687500000000083,-466.6288125000001
10.0,tags_grand_lite,0.0014374999999999805,-1.9844375000000127
11.0,best_syndrome_llr_grand,-0.00824999999999998,-338.53643750000003
11.0,best_syndrome_llr_grand_capmatched,-0.008000000000000007,65.66356250000001
11.0,final_llr_grand,-0.0003750000000000142,-376.3179375000001
11.0,final_llr_grand_capmatched,0.0,0.0
11.0,guard_plus_best_syndrome,0.000687499999999952,-2.0580625000000055
11.0,ldpc_only,-0.017312499999999953,-919.984
11.0,oracle_best_llr,0.002187500000000009,-389.2874375
11.0,selector_llr_grand,-0.013687499999999964,-313.4568750000001
11.0,tags_grand_lite,0.0004999999999999449,-0.5508125000000064
12.0,best_syndrome_llr_grand,-0.006812499999999999,-234.5780625
12.0,best_syndrome_llr_grand_capmatched,-0.006687500000000068,56.38700000000006
12.0,final_llr_grand,-0.00012500000000004174,-267.6351875
12.0,final_llr_grand_capmatched,0.0,0.0
12.0,guard_plus_best_syndrome,0.00031249999999993783,-1.1821874999999409
12.0,ldpc_only,-0.013125000000000053,-652.098125
12.0,oracle_best_llr,0.0009374999999999245,-272.56312499999996
12.0,selector_llr_grand,-0.009875000000000078,-220.22168749999997
12.0,tags_grand_lite,0.00043749999999997957,-0.9560000000000173
13.0,best_syndrome_llr_grand,-0.006062500000000082,-154.9575625
13.0,best_syndrome_llr_grand_capmatched,-0.00593750000000004,49.975750000000005
13.0,final_llr_grand,-0.00012500000000004174,-184.10062499999998
13.0,final_llr_grand_capmatched,0.0,0.0
13.0,guard_plus_best_syndrome,0.00031249999999993783,-1.043687499999976
13.0,ldpc_only,-0.010875000000000079,-449.9374375
13.0,oracle_best_llr,0.0010624999999999662,-190.43631249999999
13.0,selector_llr_grand,-0.008437500000000098,-144.257
13.0,tags_grand_lite,0.00024999999999997247,-0.2629999999999768
14.0,best_syndrome_llr_grand,-0.006062499999999971,-99.34287499999999
14.0,best_syndrome_llr_grand_capmatched,-0.005937499999999929,50.467625
14.0,final_llr_grand,0.0,-128.84375
14.0,final_llr_grand_capmatched,0.0,0.0
14.0,guard_plus_best_syndrome,0.00043749999999997957,-1.091562500000009
14.0,ldpc_only,-0.010749999999999926,-315.027375
14.0,oracle_best_llr,0.0007500000000000284,-132.747375
14.0,selector_llr_grand,-0.008312499999999945,-89.01781250000002
14.0,tags_grand_lite,0.00031250000000004885,-0.5811249999999859
