 ebn0_db                   decoder  n_original_frames  n_invoked_frames  legacy_detected_failures  legacy_detected_failure_rate  conditional_exact_success_rate  conditional_valid_codeword_rate  conditional_undetected_error_rate  avg_queries_on_invoked_frames  avg_pattern_weight  avg_selected_snapshot  avg_frontier_peak  net_exact_success_rate  net_valid_codeword_rate  net_undetected_error_rate  net_frame_error_rate  avg_queries_per_original_frame  total_queries  n_frames  success_exact_rate  valid_codeword_rate  undetected_error_rate  avg_queries  queries_q50  queries_q90  queries_q99
    11.0   best_syndrome_llr_grand              16000              2560                      2560                      0.160000                        0.075000                         0.075000                                0.0                    4629.325000            0.125000               5.700000       41749.300000                0.852000                 0.852000                        0.0              0.148000                      740.692000     11851072.0      2560            0.075000             0.075000                    0.0  4629.325000       5000.0       5000.0       5000.0
    12.0   best_syndrome_llr_grand              16000              1408                      1408                      0.088000                        0.000000                         0.000000                                0.0                    5000.000000            0.000000               8.181818       45087.000000                0.912000                 0.912000                        0.0              0.088000                      440.000000      7040000.0      1408            0.000000             0.000000                    0.0  5000.000000       5000.0       5000.0       5000.0
    13.0   best_syndrome_llr_grand              16000               798                       798                      0.049875                        0.025063                         0.025063                                0.0                    4875.075188            0.062657               6.889724       43958.265664                0.951375                 0.951375                        0.0              0.048625                      243.144375      3890310.0       798            0.025063             0.025063                    0.0  4875.075188       5000.0       5000.0       5000.0
    14.0   best_syndrome_llr_grand              16000               645                       645                      0.040313                        0.023256                         0.023256                                0.0                    4891.604651            0.116279               6.758140       44071.108527                0.960625                 0.960625                        0.0              0.039375                      197.192813      3155085.0       645            0.023256             0.023256                    0.0  4891.604651       5000.0       5000.0       5000.0
    11.0 best_syndrome_unsat_grand              16000              2560                      2560                      0.160000                        0.025000                         0.025000                                0.0                    4875.025000            0.025000               5.700000         174.975000                0.844000                 0.844000                        0.0              0.156000                      780.004000     12480064.0      2560            0.025000             0.025000                    0.0  4875.025000       5000.0       5000.0       5000.0
    12.0 best_syndrome_unsat_grand              16000              1408                      1408                      0.088000                        0.000000                         0.000000                                0.0                    5000.000000            0.000000               8.181818         177.000000                0.912000                 0.912000                        0.0              0.088000                      440.000000      7040000.0      1408            0.000000             0.000000                    0.0  5000.000000       5000.0       5000.0       5000.0
    13.0 best_syndrome_unsat_grand              16000               798                       798                      0.049875                        0.025063                         0.025063                                0.0                    4874.749373            0.062657               6.889724         175.308271                0.951375                 0.951375                        0.0              0.048625                      243.128125      3890050.0       798            0.025063             0.025063                    0.0  4874.749373       5000.0       5000.0       5000.0
    14.0 best_syndrome_unsat_grand              16000               645                       645                      0.040313                        0.000000                         0.000000                                0.0                    5000.000000            0.000000               6.758140         177.000000                0.959688                 0.959688                        0.0              0.040312                      201.562500      3225000.0       645            0.000000             0.000000                    0.0  5000.000000       5000.0       5000.0       5000.0
    11.0           final_llr_grand              16000              2560                      2560                      0.160000                        0.200000                         0.200000                                0.0                    4189.475000            0.500000              12.000000       37789.525000                0.872000                 0.872000                        0.0              0.128000                      670.316000     10725056.0      2560            0.200000             0.200000                    0.0  4189.475000       5000.0       5000.0       5000.0
    12.0           final_llr_grand              16000              1408                      1408                      0.088000                        0.045455                         0.045455                                0.0                    4777.272727            0.090909              12.000000       43079.954545                0.916000                 0.916000                        0.0              0.084000                      420.400000      6726400.0      1408            0.045455             0.045455                    0.0  4777.272727       5000.0       5000.0       5000.0
    13.0           final_llr_grand              16000               798                       798                      0.049875                        0.210526                         0.210526                                0.0                    3952.215539            0.285714              12.000000       35653.218045                0.960625                 0.960625                        0.0              0.039375                      197.116750      3153868.0       798            0.210526             0.210526                    0.0  3952.215539       5000.0       5000.0       5000.0
    14.0           final_llr_grand              16000               645                       645                      0.040313                        0.099225                         0.099225                                0.0                    4503.975194            0.099225              12.000000       40622.069767                0.963688                 0.963688                        0.0              0.036312                      181.566500      2905064.0       645            0.099225             0.099225                    0.0  4503.975194       5000.0       5000.0       5000.0
    11.0                 ldpc_only              16000             16000                      2560                      0.160000                        0.840000                         0.840000                                0.0                       0.000000            0.000000               3.824000           0.000000                0.840000                 0.840000                        0.0              0.160000                        0.000000            0.0     16000            0.840000             0.840000                    0.0     0.000000          0.0          0.0          0.0
    12.0                 ldpc_only              16000             16000                      1408                      0.088000                        0.912000                         0.912000                                0.0                       0.000000            0.000000               2.676000           0.000000                0.912000                 0.912000                        0.0              0.088000                        0.000000            0.0     16000            0.912000             0.912000                    0.0     0.000000          0.0          0.0          0.0
    13.0                 ldpc_only              16000             16000                       798                      0.049875                        0.950125                         0.950125                                0.0                       0.000000            0.000000               2.092625           0.000000                0.950125                 0.950125                        0.0              0.049875                        0.000000            0.0     16000            0.950125             0.950125                    0.0     0.000000          0.0          0.0          0.0
    14.0                 ldpc_only              16000             16000                       645                      0.040313                        0.959688                         0.959688                                0.0                       0.000000            0.000000               1.851375           0.000000                0.959688                 0.959688                        0.0              0.040312                        0.000000            0.0     16000            0.959688             0.959688                    0.0     0.000000          0.0          0.0          0.0
    11.0           oracle_best_llr              16000              2560                      2560                      0.160000                        0.175000                         0.175000                                0.0                    4125.650000            0.200000               5.950000       37217.850000                0.868000                 0.868000                        0.0              0.132000                      660.104000     10561664.0      2560            0.175000             0.175000                    0.0  4125.650000       5000.0       5000.0       5000.0
    12.0           oracle_best_llr              16000              1408                      1408                      0.088000                        0.045455                         0.045455                                0.0                    4777.272727            0.090909               6.090909       43078.136364                0.916000                 0.916000                        0.0              0.084000                      420.400000      6726400.0      1408            0.045455             0.045455                    0.0  4777.272727       5000.0       5000.0       5000.0
    13.0           oracle_best_llr              16000               798                       798                      0.049875                        0.265664                         0.265664                                0.0                    3710.320802            0.481203               5.974937       33479.887218                0.963375                 0.963375                        0.0              0.036625                      185.052250      2960836.0       798            0.265664             0.265664                    0.0  3710.320802       5000.0       5000.0       5000.0
    14.0           oracle_best_llr              16000               645                       645                      0.040313                        0.108527                         0.108527                                0.0                    4462.542636            0.117829               6.465116       40249.372093                0.964063                 0.964063                        0.0              0.035937                      179.896250      2878340.0       645            0.108527             0.108527                    0.0  4462.542636       5000.0       5000.0       5000.0
    11.0           tags_grand_lite              16000              2560                      2560                      0.160000                        0.025000                         0.025000                                0.0                    4875.025000            0.025000               7.150000         188.350000                0.844000                 0.844000                        0.0              0.156000                      780.004000     12480064.0      2560            0.025000             0.025000                    0.0  4875.025000       5000.0       5000.0       5000.0
    12.0           tags_grand_lite              16000              1408                      1408                      0.088000                        0.000000                         0.000000                                0.0                    5000.000000            0.000000               7.318182         190.000000                0.912000                 0.912000                        0.0              0.088000                      440.000000      7040000.0      1408            0.000000             0.000000                    0.0  5000.000000       5000.0       5000.0       5000.0
    13.0           tags_grand_lite              16000               798                       798                      0.049875                        0.000000                         0.000000                                0.0                    5000.000000            0.000000               7.100251         198.458647                0.950125                 0.950125                        0.0              0.049875                      249.375000      3990000.0       798            0.000000             0.000000                    0.0  5000.000000       5000.0       5000.0       5000.0
    14.0           tags_grand_lite              16000               645                       645                      0.040313                        0.000000                         0.000000                                0.0                    5000.000000            0.000000               6.916279         191.041860                0.959688                 0.959688                        0.0              0.040312                      201.562500      3225000.0       645            0.000000             0.000000                    0.0  5000.000000       5000.0       5000.0       5000.0
