ebn0_db,worker_id,frame_idx,legacy_success,legacy_detected_failure,success_exact,valid_codeword,undetected_error,stop_iteration,final_syndrome_weight,runtime_ms
8.0,40,26,0,1,0,0,0,12,126,29.02547107078135
8.0,40,27,0,1,0,0,0,12,132,29.11221096292138
8.0,40,28,1,0,1,1,0,7,0,17.220086883753538
8.0,40,29,0,1,0,0,0,12,128,29.283310053870082
8.0,40,30,1,0,1,1,0,5,0,12.79376819729805
8.0,40,31,1,0,1,1,0,3,0,8.015952073037624
8.0,40,32,1,0,1,1,0,3,0,8.050190983340144
8.0,40,33,0,1,0,0,0,12,131,29.340120032429695
8.0,40,34,0,1,0,0,0,12,118,29.04092101380229
8.0,40,35,1,0,1,1,0,3,0,8.145670872181654
8.0,40,36,1,0,1,1,0,5,0,12.681678868830204
8.0,40,37,1,0,1,1,0,5,0,12.671319069340825
8.0,40,38,1,0,1,1,0,9,0,21.959244972094893
8.0,40,39,1,0,1,1,0,3,0,7.99729092977941
8.0,40,40,0,1,0,0,0,12,143,30.806412920355797
8.0,40,41,1,0,1,1,0,4,0,10.910346871241927
8.0,40,42,0,1,0,0,0,12,136,29.146831016987562
8.0,40,43,0,1,0,0,0,12,133,29.463309096172452
8.0,40,44,1,0,1,1,0,5,0,12.694888981059194
8.0,40,45,1,0,1,1,0,5,0,12.765168910846114
8.0,40,46,0,1,0,0,0,12,123,29.411558993160725
8.0,40,47,0,1,0,0,0,12,120,29.568498022854328
8.0,40,48,0,1,0,0,0,12,124,29.27861991338432
8.0,40,49,1,0,1,1,0,3,0,8.031651144847274
8.0,40,50,0,1,0,0,0,12,127,29.02133110910654
8.0,40,51,0,1,0,0,0,12,124,29.07831105403602
8.0,40,52,0,1,0,0,0,12,136,28.80824194289744
8.0,40,53,0,1,0,0,0,12,133,29.034191044047475
8.0,40,54,0,1,0,0,0,12,137,29.101249994710088
8.0,40,55,0,1,0,0,0,12,124,28.979281894862652
8.0,40,56,0,1,0,0,0,12,134,29.187420150265098
8.0,40,57,1,0,1,1,0,9,0,21.964563988149166
8.0,40,58,1,0,1,1,0,6,0,14.900959096848965
8.0,40,59,1,0,1,1,0,5,0,12.64606905169785
8.0,40,60,0,1,0,0,0,12,126,29.0779210627079
8.0,40,61,0,1,0,0,0,12,155,28.984560864046216
8.0,40,62,0,1,0,0,0,12,129,28.875351883471012
8.0,40,63,0,1,0,0,0,12,118,29.716978082433343
8.0,46,0,1,0,1,1,0,4,0,54.27326005883515
8.0,46,1,1,0,1,1,0,5,0,13.090577209368348
8.0,46,2,1,0,1,1,0,2,0,5.7629121001809835
8.0,46,3,0,1,0,0,0,12,122,28.777332045137882
8.0,46,4,0,1,0,0,0,12,121,29.04985100030899
8.0,46,5,1,0,1,1,0,6,0,15.223996946588159
8.0,46,6,0,1,0,0,0,12,122,28.686413075774908
8.0,46,7,0,1,0,0,0,12,126,29.09326017834246
8.0,46,8,0,1,0,0,0,12,121,28.98474200628698
8.0,46,9,0,1,0,0,0,12,119,29.16328003630042
8.0,46,10,0,1,0,0,0,12,135,29.156379867345095
8.0,46,11,1,0,1,1,0,3,0,8.041191846132278
8.0,46,12,1,0,1,1,0,4,0,10.288649937137961
8.0,46,13,0,1,0,0,0,12,136,29.122151201590896
8.0,46,14,0,1,0,0,0,12,127,28.902851045131683
8.0,46,15,1,0,1,1,0,5,0,12.675900012254715
8.0,46,16,0,1,0,0,0,12,128,29.07887101173401
8.0,46,17,1,0,1,1,0,4,0,10.402399813756347
8.0,46,18,0,1,0,0,0,12,122,28.866042150184512
8.0,46,19,0,1,0,0,0,12,107,28.99065101519227
8.0,46,20,0,1,0,0,0,12,144,29.11290107294917
8.0,46,21,0,1,0,0,0,12,138,29.14083981886506
8.0,46,22,0,1,0,0,0,12,132,28.824892127886415
8.0,46,23,0,1,0,0,0,12,135,29.170359950512648
8.0,46,24,1,0,1,1,0,4,0,10.31495095230639
8.0,46,25,0,1,0,0,0,12,127,29.059380991384387
