ebn0_db,n_frames,detected_failure_rate,exact_success_rate,valid_codeword_rate,undetected_error_rate,avg_stop_iteration,avg_runtime_ms,avg_final_syndrome_weight_on_fail
8.0,4096,0.625,0.375,0.375,0.0,9.4375,22.15101096820149,128.8
9.0,4096,0.359375,0.640625,0.640625,0.0,6.671875,14.388178201514279,120.56521739130434
10.0,4096,0.203125,0.796875,0.796875,0.0,4.890625,11.063847473415933,130.15384615384616
11.0,4096,0.140625,0.859375,0.859375,0.0,3.5625,7.99255361993545,126.66666666666667
12.0,4096,0.02294921875,0.97705078125,0.97705078125,0.0,2.0478515625,4.928920536315218,128.10638297872342
13.0,4096,0.072265625,0.927734375,0.927734375,0.0,2.3115234375,5.475135045195145,126.28716216216216
14.0,4096,0.063232421875,0.936767578125,0.936767578125,0.0,2.081787109375,4.956405687757126,127.73359073359073
